well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse
4f4ac5ce,2.073563205424655,6.562017933856171,-2.6666889497678468,-13.229678644331235,-4.059985986918647,8.739613303358835
4fbe9c06,-10.708416409596717,13.877641483938946,-1.9548591675309392,-14.713606088613087,-1.595199767616275,12.687374382396328
511e1db0,-0.3863501055666162,1.8899944451509418,-4.338266170120971,-5.530729807788135,-5.169880838302404,5.128837964847336
512943b2,-1.6127991335236405,3.7754943151170934,,,-1.8345794779291649,3.4208804129275525
521a7819,-34.637119267886895,36.857745596312576,-5.171558111268127,-19.84230857126532,-1.1348071918716849,35.79341131693705
53134831,-11.044825294442017,12.175820873609968,-1.7437729018889159,-13.489917672047705,0.3460997517557503,12.49062134441634
5397ceb1,-5.057716727261943,7.534982692993206,-3.8579071952561845,-3.823322279867101,-1.8423104063424902,6.444711281282692
543198e8,3.8703343435147457,18.479433573055775,-1.5575482530515046,-13.16137876729399,-1.885499749776491,18.964166297517146
5663b2b7,-4.969786502329051,13.938048664605086,6.558583796449893,-7.048765079078108,5.6545827185477755,16.806178745915823
577eec7c,5.1530233815622495,11.221564799295232,5.6024473087228515,-5.855601115845957,-1.8256071720376466,12.168448996379295
58850d2c,-10.53559974288402,11.691653652857875,-3.6610548315702625,-5.111165006040447,-0.5727918708041471,11.178257641158435
591cc951,-5.7054738759814,6.866875678238513,2.4648128009906856,-8.839393873621582,9.541709589227482,15.718719828683055
5a1a8fd8,-9.45075148388187,11.134799750030638,-1.8000965693249273,-17.194030857011697,0.7485520661746858,11.776793059630796
5a5d1982,-3.5325798635369607,5.638048649571815,-4.7291023461130814,-13.991171654236041,-2.896101631285719,4.439997367431772
5b7b6324,12.707486368227462,16.8208830652537,5.282405233821322,-10.178531606196273,4.169821598833758,13.94107660874103
5bd25f59,-1.518988430423589,2.741210710772011,5.892958908236134,-13.371106026477534,1.0206029108160386,3.414152089405001
5d11dfb5,-2.586043041788565,9.405270641584007,-1.793042133762743,-14.672003918114113,0.11484040569053305,9.437492708570918
5def1ce5,-1.4523217102564432,6.9959521944768115,-5.647353811851296,-16.385805837939117,-1.7233882655685533,6.848911288280189
5eae34a8,-1.8143935704749425,5.973593212702033,-3.652787192906429,-16.485575406468946,-1.2695162797625843,5.717401779146968
5f4d2a52,43.575199903205586,52.16464232548908,-6.532122468422628,-0.5770456472271384,-1.3510770248882809,53.29842606458174
5f6756c5,10.496608548775356,11.886543846927854,-1.5400301676383519,-7.436752224480825,-0.13271057774470263,12.003897645853854
60e37807,10.93858048248566,19.359275153282166,4.7999728081331,-14.343365925003347,2.0610346906826473,18.274020104350868
62569ae3,-4.380178465675524,7.191691872544939,-5.923389748174548,-14.662344907177413,-3.8839707166297726,5.725442404624669
647f2a41,-6.108518722406569,8.158284799200073,4.82513962293517,-22.016787093356356,5.092168071828297,12.437805053360352
656a067b,-0.19166882281224068,10.698140190116806,-0.5510483455862452,-18.16971974849138,2.7704228263457984,11.098984346676502
684a6fc1,10.87648757748145,13.314933375145383,7.923559886292916,-16.150188693026177,3.836362499588452,10.418868934477537
699ea575,5.818983089082386,9.868677653917814,,,-2.2878472459142905,11.36885801328926
69c1bdad,-3.811759760298827,6.577388701551304,-1.4826906336431205,-8.671703238557452,-3.445513646881887,5.372770782068976
6d590e26,0.16738059182613163,7.6382837529566965,3.2951359183583464,-16.186053721380592,-3.3744335073569816,8.417826889484886
6d6d93af,-22.535038469380865,26.244805185048516,-1.89739334668144,2.1797194541972598,2.699709418105518,28.596404342673928
6ea22614,-4.142691827169138,7.557168025825859,6.382630868432328,-6.3377989694452666,4.748279444716063,10.908632506101466
6ede926a,0.10797234033515465,3.958186797114788,-4.241499112254561,-4.107580673165366,2.51494509280814,4.631317579881616
708caea9,22.666028669656008,25.556210534713177,0.30810094805768923,-15.95789840827631,-0.22704050582754443,25.757788288484928
